Version; FileName ; Size;nr;nAuth; LOC_touched;LOC_Added; Max_locAdded;Avg_locAdded;Churn;MAX_Churn; AVG_Churn;ChgSetSize;Max_chgSetSize;Avg_chgSetSize;Buggy
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java;137;5;5;170;162;75;14;154;154;14;242;4;3;yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java;355;12;12;585;489;209;7;393;393;7;581;11;7;yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java;114;4;4;146;139;66;12;132;132;12;97;3;2;no
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java;468;9;9;579;556;521;26;533;533;26;495;8;6;no
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java;509;10;10;763;683;573;10;603;605;10;506;9;6;yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java;121;2;2;148;148;148;148;148;148;148;64;1;1;yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java;164;4;4;194;184;173;17;174;174;17;114;3;2;no
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java;137;4;4;168;158;147;14;148;148;14;114;3;2;no
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java;83;7;7;1576;834;763;17;92;764;17;286;6;3;no
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java;207;7;7;650;442;209;8;234;236;8;285;6;3;yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java;47;4;4;64;59;54;10;54;54;10;97;3;2;no
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java;30;3;3;48;43;38;9;38;38;9;96;2;2;yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java;83;3;3;106;102;98;20;98;98;20;96;2;2;no
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java;32;4;4;59;49;38;5;39;39;5;114;3;2;no
